DataSources_ID,Source,Notes
A8924291-A2EA-44D8-825A-412B598EFA01,TROonscreendigitizingOFR96-11/TROattributeOFR96-11,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-11 mylar source map using ESRI ArcEdit; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-11 source map attribution
97CF6A86-1253-4577-99C7-EABC92C4151B,TROonscreendigitizingOFR98-12/TROattributeOFR98-12,1) TRO digitized linework on-screen from georeferenced scans of OFR 98-12 mylar source map using ESRI ArcEdit; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 98-12 source map attribution
B0FA8426-541E-4B56-81AA-DBDAAA7E7C9F,TROr2vdigitizeOFR96-11/TROattributeOFR96-11,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-11 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-11 source map 
93FB4C0E-9F60-4B8B-B625-8967F2041FA2,TROr2vdigitizeOFR96-11/TROattributeOFR96-11/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-11 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-11 source map 
45BB1C68-6E46-426F-9D2E-83257C36C128,TROr2vdigitizeOFR96-26/TROattributeOFR96-26,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-26 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-26 source map 
9D79ABBA-4892-4781-BC89-3782D522C052,TROr2vdigitizeOFR96-26/TROattributeOFR96-26/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-26 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-26 source map 
39A72DE4-70B5-4E87-91D9-3AE6B33330A2,TROr2vdigitizeOFR96-26/TROattributeOFR96-26/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 96-26 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 96-26 source map 
19918A0C-7203-45C0-9565-6542FD5371EF,TROr2vdigitizeOFR97-1/TROattributeOFR97-1,1) TRO digitized linework on-screen from georeferenced scans of OFR 97-1 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO converted shapefile to ESRI coverage and cleaned and edited using ArcEdit; 3) TRO split arcs in Arc
BEAC6E1D-894F-4EDB-B0C5-41EF6FA39F80,TROr2vdigitizeOFR97-1/TROattributeOFR97-1/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 97-1 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 97-1 source map at
59270FB6-BCD7-4EC8-9EEB-FD7DCFECAF53,TROr2vdigitizeOFR97-2/TROattributeOFR97-2,1) TRO digitized linework on-screen from georeferenced scans of OFR 97-2 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO converted shapefile to ESRI coverage and cleaned and edited using ArcEdit; 3) TRO split arcs in Arc
36A56437-E1F1-4930-B5BD-B02F8138CEF4,TROr2vdigitizeOFR97-2/TROattributeOFR97-2/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 97-2 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO converted shapefile to ESRI coverage and cleaned and edited using ArcEdit; 3) TRO split arcs in Arc
8C6E2F33-F75C-4E44-8D4E-D1477DF39993,TROr2vdigitizeOFR97-2/TROattributeOFR97-2/TROedgematch,1) TRO digitized linework on-screen from georeferenced scans of OFR 97-2 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 97-2 source map at
EF48E07F-7441-435C-B53E-91481A8B7821,TROr2vdigitizeOFR98-11/TROattributeOFR98-1,1) TRO digitized linework on-screen from georeferenced scans of Leighty's OFR 98-11 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 98-11 s
8E76405B-41A5-4E25-AAC3-0B2CB97A41F1,TROr2vdigitizeOFR98-12/TROattributeOFR98-12,1) TRO digitized linework on-screen from georeferenced scans of OFR 98-12 mylar source map using R2V software package and exported as ESRI shapefile; 2) TRO cleaned and edited using ArcEdit; 3) TRO attributed arcs in ArcView based on OFR 98-12 source map 
CAE267FB-A8E2-48AB-A3B8-1B56271F3088,Wessels SMR dig,"SMR digitize Jon Specer 24K generalization of Wessels (AZGS CM91-I) map in NE Kaylor butte quad. Reconcile with Skotnicki unpublished, and Mayes Northern tonto Basin Thesis Map, and AZ online imagery. Basalt shows up pretty well in basin fill"
E78CD381-C65F-43BE-930F-98AC9B2C45D3,WildcatHill_AZGS_OFR97_02,Teresa Arrospide Attribution of geological units.
62195F0D-C12F-4D97-A53A-7291EAD91B2A,Wrucke and Conway USGS 87-664,"SMR digitize georeferenced scan of ofr. Scan from USGS online pubs, converted from DejaVu image to tiff by printing DejaVu to Adobe Acrobat and clipping. Georeference against Terraserver DRG's"
